,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410,212391,325211,325193
6735,10,1,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6736,10,1,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6737,10,1,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6738,10,1,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6739,10,1,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6740,10,1,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6741,10,1,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6742,10,1,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6743,10,1,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6744,10,2,0,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.45266667,1,1,1,1,0.196,0.7350528000000001
6745,10,2,1,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.194,1,1,1,1,0.196,0.7247238
6746,10,2,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6747,10,2,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6748,10,2,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6749,10,2,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6750,10,2,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6751,10,2,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6752,10,2,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6753,10,2,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6754,10,2,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6755,10,2,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6756,10,2,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6757,10,2,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6758,10,2,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6759,10,2,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6760,10,2,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6761,10,2,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6762,10,2,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6763,10,2,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6764,10,2,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6765,10,2,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6766,10,2,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6767,10,2,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6768,10,3,0,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.45266667,1,1,1,1,0.196,0.7350528000000001
6769,10,3,1,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.194,1,1,1,1,0.196,0.7247238
6770,10,3,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6771,10,3,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6772,10,3,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6773,10,3,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6774,10,3,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6775,10,3,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6776,10,3,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6777,10,3,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6778,10,3,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6779,10,3,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6780,10,3,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6781,10,3,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6782,10,3,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6783,10,3,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6784,10,3,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6785,10,3,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6786,10,3,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6787,10,3,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6788,10,3,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6789,10,3,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6790,10,3,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6791,10,3,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
