,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
31012,01/15/2020,2.0,1.0,N,HB_HUBAVG,AH,3.39
31104,01/15/2020,3.0,1.0,N,HB_HUBAVG,AH,1.09
31196,01/15/2020,4.0,1.0,N,HB_HUBAVG,AH,0.45
31288,01/15/2020,5.0,1.0,N,HB_HUBAVG,AH,2.09
31380,01/15/2020,6.0,1.0,N,HB_HUBAVG,AH,4.4
31472,01/15/2020,7.0,1.0,N,HB_HUBAVG,AH,11.21
31564,01/15/2020,8.0,1.0,N,HB_HUBAVG,AH,14.69
31656,01/15/2020,9.0,1.0,N,HB_HUBAVG,AH,14.74
31748,01/15/2020,10.0,1.0,N,HB_HUBAVG,AH,15.96
31840,01/15/2020,11.0,1.0,N,HB_HUBAVG,AH,16.46
31932,01/15/2020,12.0,1.0,N,HB_HUBAVG,AH,17.12
32024,01/15/2020,13.0,1.0,N,HB_HUBAVG,AH,17.13
32116,01/15/2020,14.0,1.0,N,HB_HUBAVG,AH,20.13
32208,01/15/2020,15.0,1.0,N,HB_HUBAVG,AH,19.76
32300,01/15/2020,16.0,1.0,N,HB_HUBAVG,AH,19.67
32392,01/15/2020,17.0,1.0,N,HB_HUBAVG,AH,19.4
32484,01/15/2020,18.0,1.0,N,HB_HUBAVG,AH,18.28
32576,01/15/2020,19.0,1.0,N,HB_HUBAVG,AH,18.09
32668,01/15/2020,20.0,1.0,N,HB_HUBAVG,AH,17.18
32760,01/15/2020,21.0,1.0,N,HB_HUBAVG,AH,15.97
32852,01/15/2020,22.0,1.0,N,HB_HUBAVG,AH,15.11
32944,01/15/2020,23.0,1.0,N,HB_HUBAVG,AH,14.26
33036,01/15/2020,24.0,1.0,N,HB_HUBAVG,AH,14.69
33128,01/16/2020,1.0,1.0,N,HB_HUBAVG,AH,12.77
33220,01/16/2020,2.0,1.0,N,HB_HUBAVG,AH,5.86
33312,01/16/2020,3.0,1.0,N,HB_HUBAVG,AH,0.03
