,Date,HourEnding,Settlement Point Price
402,2021/01/17,19,-2.4901
403,2021/01/17,20,3.9937
404,2021/01/17,21,-12.6998
405,2021/01/17,22,7.3922
406,2021/01/17,23,15.9848
407,2021/01/17,24,29.713
408,2021/01/18,1,35.0247
409,2021/01/18,2,27.8335
410,2021/01/18,3,28.1269
411,2021/01/18,4,26.1483
412,2021/01/18,5,19.7884
413,2021/01/18,6,12.3129
414,2021/01/18,7,13.2799
415,2021/01/18,8,14.3715
416,2021/01/18,9,14.2359
417,2021/01/18,10,15.4908
418,2021/01/18,11,18.4736
419,2021/01/18,12,21.2446
420,2021/01/18,13,15.5927
421,2021/01/18,14,11.8314
422,2021/01/18,15,18.0082
423,2021/01/18,16,22.3227
424,2021/01/18,17,16.836
425,2021/01/18,18,12.7507
426,2021/01/18,19,13.7513
427,2021/01/18,20,26.5759
428,2021/01/18,21,15.5374
429,2021/01/18,22,17.4654
430,2021/01/18,23,20.1453
431,2021/01/18,24,89.2735
432,2021/01/19,1,19.1488
433,2021/01/19,2,18.6258
434,2021/01/19,3,19.8776
435,2021/01/19,4,17.7786
436,2021/01/19,5,14.79
437,2021/01/19,6,15.4174
438,2021/01/19,7,15.0198
439,2021/01/19,8,9.5948
440,2021/01/19,9,3.0348
441,2021/01/19,10,0.4348
442,2021/01/19,11,-9.2395
443,2021/01/19,12,-6.698
444,2021/01/19,13,9.8315
445,2021/01/19,14,14.77
446,2021/01/19,15,18.6529
447,2021/01/19,16,19.9046
448,2021/01/19,17,18.0974
449,2021/01/19,18,16.1409
450,2021/01/19,19,15.6326
451,2021/01/19,20,17.2911
452,2021/01/19,21,24.9152
453,2021/01/19,22,26.9601
454,2021/01/19,23,28.1824
455,2021/01/19,24,319.0179
456,2021/01/20,1,511.1019
457,2021/01/20,2,32.7585
458,2021/01/20,3,52.4062
459,2021/01/20,4,27.8023
460,2021/01/20,5,31.881
461,2021/01/20,6,33.2146
462,2021/01/20,7,22.9033
463,2021/01/20,8,18.6613
464,2021/01/20,9,20.8826
465,2021/01/20,10,16.7332
466,2021/01/20,11,11.7267
467,2021/01/20,12,14.684
468,2021/01/20,13,13.2884
469,2021/01/20,14,6.2577
470,2021/01/20,15,8.3532
471,2021/01/20,16,4.6529
472,2021/01/20,17,2.478
473,2021/01/20,18,35.4365
474,2021/01/20,19,-1.0463
475,2021/01/20,20,20.9791
476,2021/01/20,21,52.8769
477,2021/01/20,22,34.0159
478,2021/01/20,23,19.4565
479,2021/01/20,24,15.3653
480,2021/01/21,1,21.5132
481,2021/01/21,2,16.9556
482,2021/01/21,3,14.2999
483,2021/01/21,4,18.5379
484,2021/01/21,5,16.8448
485,2021/01/21,6,19.2294
486,2021/01/21,7,19.7162
487,2021/01/21,8,19.0313
488,2021/01/21,9,18.8163
489,2021/01/21,10,17.6054
490,2021/01/21,11,20.1658
491,2021/01/21,12,22.5602
492,2021/01/21,13,28.3726
493,2021/01/21,14,30.7743
494,2021/01/21,15,29.8569
495,2021/01/21,16,37.7878
