,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
0,ROBERTS,46109,1002909,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1002909,265.8138391,265.8138391,0.013381895,73837.2365975198,8.428908287388106,NG_Type
0,PERKINS COUNTY,31135,1005476,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1005476,623.6180512999999,623.6180512999999,0.031394873,173227.3750540114,19.77481450388258,NG_Type
0,PERKINS COUNTY,31135,1005476,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1005476,283.1149435,283.1149435,0.014252886999999999,78643.102775543,8.977523147893036,NG_Type
0,HOLT COUNTY,31089,1002148,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1002148,755.0992451,755.0992451,0.038014044999999996,209749.9581053878,23.944059144450662,NG_Type
0,HOLT COUNTY,31089,1002148,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1002148,342.8057923,342.8057923,0.01725791,95223.90737350941,10.870309060902901,NG_Type
0,HITCHCOCK,31087,1006662,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1006662,614.0487777000001,614.0487777000001,0.030913125,170569.2413719506,19.47137458583911,NG_Type
0,HITCHCOCK,31087,1006662,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1006662,278.7706108,278.7706108,0.01403418,77436.3427268024,8.83976515146146,NG_Type
0,FURNAS COUNTY,31065,1004039,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1004039,685.8027103,685.8027103,0.034525442,190500.90526171343,21.746678682844,NG_Type
0,FURNAS COUNTY,31065,1004039,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1004039,311.34601569999995,311.34601569999995,0.015674127,86485.07354911459,9.872725290994817,NG_Type
0,LINCOLN COUNTY,46083,1006030,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1006030,1123.4616102,1123.4616102,0.056558552,312072.9191581356,35.62476246097438,NG_Type
